data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,note_it,note_en,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva
2020-04-01T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,342,71,413,798,1211,20,35,102,123,1436,9610,,,1401,35,95,7,115,8,73,-2
2020-04-01T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,39,15,54,171,225,9,11,3,9,237,2262,,,226,11,3,0,7,2,17,-2
2020-04-01T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,144,16,160,450,610,4,10,21,38,669,9983,,,659,10,17,4,36,2,17,-1
2020-04-01T17:00:00,ITA,15,Campania,40.83956555,14.25084984,478,129,607,1369,1976,105,139,107,148,2231,15728,,,2092,139,88,19,133,15,133,-4
2020-04-01T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,3898,359,4257,7232,11489,536,713,1566,1732,14787,58457,,,14074,713,1477,89,1644,88,353,6
2020-04-01T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,206,60,266,940,1206,46,92,357,122,1685,15987,,,1593,92,320,37,113,9,60,0
2020-04-01T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,1131,177,1308,1450,2758,116,169,337,169,3264,35810,,,3095,169,291,46,162,7,173,4
2020-04-01T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,1114,179,1293,1352,2645,137,244,555,460,3660,11334,,,3416,244,480,75,428,32,179,0
2020-04-01T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,11927,1342,13269,12496,25765,641,1565,11415,7593,44773,121449,,,43208,1565,10885,530,7199,394,1324,18
2020-04-01T17:00:00,ITA,11,Marche,43.61675973,13.5188753,984,168,1152,2304,3456,104,137,29,477,3962,12296,,,3825,137,21,8,452,25,169,-1
2020-04-01T17:00:00,ITA,14,Molise,41.55774754,14.65916051,32,8,40,91,131,14,16,19,10,160,1157,,,144,16,18,1,9,1,8,0
2020-04-01T17:00:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,269,57,326,786,1112,-30,47,190,116,1418,11951,,,1371,47,153,37,76,40,62,-5
2020-04-01T17:00:00,ITA,4,P.A. Trento,46.06893511,11.12123097,345,76,421,1062,1483,94,124,214,173,1870,7675,,,1746,124,193,21,164,9,80,-4
2020-04-01T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,3146,453,3599,4871,8470,388,494,439,886,9795,30060,,,9301,494,365,74,854,32,452,1
2020-04-01T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,637,107,744,1012,1756,102,143,61,129,1946,15209,,,1803,143,39,22,110,19,105,2
2020-04-01T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,119,27,146,529,675,18,23,36,34,745,5501,,,722,23,34,2,31,3,28,-1
2020-04-01T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,496,72,568,976,1544,52,71,86,88,1718,16836,,,1647,71,74,12,81,7,72,0
2020-04-01T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,1120,297,1417,3015,4432,206,259,182,253,4867,36575,,,4608,259,138,44,244,9,293,4
2020-04-01T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,173,45,218,646,864,13,17,194,37,1095,9080,,,1078,17,190,4,37,0,43,2
2020-04-01T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,85,27,112,428,540,-12,3,32,59,631,1717,,,628,3,20,12,56,3,26,1
2020-04-01T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1718,350,2068,6156,8224,374,470,902,499,9625,112746,,,9155,470,828,74,477,22,356,-6
