data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,ricoverati_con_sintomi_ieri,nuovi_ricoverati_con_sintomi,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi,casi_testati_ieri,nuovi_casi_testati
2020-10-31T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,371,29,400,5803,6203,407,450,3799,550,7739,2813,10552,287781,178791,,10102,450,3764,35,355,16,542,8,27,2,283894,3887,176636,2155
2020-10-31T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,83,7,90,1356,1446,111,117,704,49,778,1421,2199,103999,103139,,2082,117,699,5,74,9,48,1,7,0,102296,1703,101446,1693
2020-10-31T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,154,9,163,2961,3124,174,202,1825,116,1194,3871,5065,274973,271920,,4863,202,1799,26,142,12,114,2,9,0,271839,3134,268922,2998
2020-10-31T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1403,168,1571,42159,43730,3380,3669,11337,673,53119,2621,55740,958834,651607,,52071,3669,11062,275,1385,18,659,14,161,7,937974,20860,634861,16746
2020-10-31T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,1223,125,1348,21865,23213,1792,2046,27997,4631,41394,14447,55841,1589691,849335,In seguito a verifica sui dati sono stati eliminati due casi in quanto giudicati non casi COVID-19,53797,2044,27764,233,1157,66,4612,19,119,6,1570748,18943,842483,6852
2020-10-31T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,167,36,203,4929,5132,597,726,5312,397,9630,1211,10841,539077,229633,,10115,726,5186,126,161,6,394,3,35,1,532815,6262,227470,2163
2020-10-31T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,1944,182,2126,31780,33906,2159,2289,11304,1212,15979,30443,46422,1437667,1174268,,44133,2289,11196,108,1873,71,1190,22,175,7,1411900,25767,1152217,22051
2020-10-31T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,1036,57,1093,7338,8431,109,1068,18403,1774,20350,8258,28608,443676,229381,,27540,1068,17469,934,948,88,1749,25,52,5,437287,6389,226812,2569
2020-10-31T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,4033,392,4425,77586,82011,6782,8919,96198,17535,158695,37049,195744,2944616,1834360,,186825,8919,94134,2064,3698,335,17462,73,370,22,2897835,46781,1807884,26476
2020-10-31T17:00:00,ITA,11,Marche,43.61675973,13.5188753,275,47,322,5783,6105,464,502,6997,1019,14005,116,14121,320766,187640,,13619,502,6965,32,262,13,1013,6,39,8,317571,3195,185912,1728
2020-10-31T17:00:00,ITA,14,Molise,41.55774754,14.65916051,17,6,23,933,956,68,83,702,37,1645,50,1695,63701,59452,,1612,83,692,10,18,-1,32,5,6,0,63048,653,58819,633
2020-10-31T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,237,18,255,4845,5100,539,547,2970,312,8382,0,8382,233334,120339,,7835,547,2966,4,233,4,308,4,18,0,230235,3099,118867,1472
2020-10-31T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,121,9,130,1795,1925,236,390,6775,438,5180,3958,9138,289152,114145,,8748,390,6622,153,118,3,437,1,9,0,286096,3056,113372,773
2020-10-31T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2683,174,2857,29967,32824,2436,2887,33429,4383,33634,37002,70636,1029059,636308,,67749,2887,33006,423,2547,136,4355,28,159,15,1013484,15575,623529,12779
2020-10-31T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,638,87,725,10668,11393,694,762,6506,723,5068,13554,18622,556545,396687,Per 723 casi non è disponibile la provenienza,17860,762,6448,58,634,4,713,10,84,3,550266,6279,391765,4922
2020-10-31T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,349,39,388,5667,6055,234,325,3149,227,3565,5866,9431,267615,227323,,9106,325,3071,78,323,26,214,13,40,-1,264292,3323,224602,2721
2020-10-31T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,962,122,1084,13358,14442,878,952,6814,502,13785,7973,21758,684775,482882,,20806,952,6758,56,895,67,484,18,117,5,676669,8106,477579,5303
2020-10-31T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,1046,163,1209,26635,27844,1424,2540,15074,1345,35553,8710,44263,1090874,727110,,41723,2540,13983,1091,1007,39,1320,25,153,10,1074698,16176,717521,9589
2020-10-31T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,277,43,320,6234,6554,388,483,3499,126,3079,7100,10179,298628,173851,,9696,483,3409,90,260,17,121,5,42,1,294451,4177,171539,2312
2020-10-31T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,146,7,153,1660,1813,96,104,1259,168,2864,376,3240,41184,25954,,3136,104,1253,6,127,19,166,2,7,0,40780,404,25710,244
2020-10-31T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,801,123,924,28255,29179,2632,2697,25373,2401,24864,32089,56953,2328514,904337,,54256,2697,25321,52,777,24,2388,13,117,6,2310397,18117,898237,6100
