data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,codice_nuts_1,codice_nuts_2,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi,casi_testati_ieri,nuovi_casi_testati
2021-02-20T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,567,75,642,11841,12483,106,387,36497,1610,,,50590,898728,463490,Dal totale dei casi positivi è stato sottratto un caso in quanto duplicato,5,,,50590,0,704882,193846,ITF,ITF1,50204,386,36219,278,1608,2,73,2,889920,8808,459742,3748
2021-02-20T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,79,4,83,3463,3546,11,88,10870,364,,,14780,236564,140512,"IL NUMERO TOTALE DEI DECESSI COMPRENDE 12 PAZIENTI NON RESIDENTI, DECEDUTI  IN STRUTTURE OSPEDALIERE DELLA REGIONE BASILICATA. ",1,,,14780,0,229688,6876,ITF,ITF5,14692,88,10795,75,362,2,4,0,235066,1498,139752,760
2021-02-20T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,163,15,178,6420,6598,98,218,29153,665,,,36416,566590,535040,,1,*,,36410,6,557585,9005,ITF,ITF6,36198,218,29035,118,663,2,15,0,564151,2439,533084,1956
2021-02-20T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1289,112,1401,68951,70352,1123,1677,177000,4106,,,251458,2774505,1935326,,17,,,247592,3866,2695976,78529,ITF,ITF3,249781,1677,176457,543,4095,11,110,2,2753612,20893,1921145,14181
2021-02-20T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,1899,176,2075,33058,35133,196,1724,198733,10304,,,244170,3603939,1454701,"A seguito di verifica, sono stati eliminati 16 casi,  in quanto giudicati non casi COVID-19",11,,,244079,91,3271027,332912,ITH,ITH5,242462,1708,197244,1489,10281,23,183,-7,3571996,31943,1448201,6500
2021-02-20T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,348,60,408,8844,9252,-109,326,61671,2756,,,73679,1291733,462473,,6,,,69463,4216,1214064,77669,ITH,ITH4,73353,326,61244,427,2748,8,56,4,1281941,9792,459555,2918
2021-02-20T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,1883,228,2111,33335,35446,-162,921,183616,5704,,,224766,3871085,2707237,,9,,,222750,2016,3302407,568678,ITI,ITI4,223845,921,182565,1051,5672,32,231,-3,3839816,31269,2689445,17792
2021-02-20T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,509,53,562,4275,4837,5,361,67102,3569,,,75508,983717,420762,in Regione Liguria la positività al test antigenico rapido è seguita da conferma con test molecolare,2,,,75508,0,896513,87204,ITC,ITC3,75147,361,66756,346,3559,10,58,-5,976976,6741,418181,2581
2021-02-20T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,3722,382,4104,49261,53365,1576,3019,495393,28008,,,576766,6331879,3021909,,31,,,571580,5186,6014678,317201,ITC,ITC4,573747,3019,493987,1406,27971,37,373,9,6287867,44012,3007961,13948
2021-02-20T17:00:00,ITA,11,Marche,43.61675973,13.5188753,532,80,612,8081,8693,192,547,52381,2177,,,63251,787557,476674,,3,,,63251,0,736191,51366,ITI,ITI3,62704,547,52034,347,2169,8,82,-2,781587,5970,472892,3782
2021-02-20T17:00:00,ITA,14,Molise,41.55774754,14.65916051,91,13,104,1603,1707,24,93,7969,331,,,10007,155374,140464,,2,,,10007,0,155084,290,ITF,ITF2,9914,93,7904,65,327,4,11,2,154240,1134,139428,1036
2021-02-20T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,249,36,285,6846,7131,-147,477,43172,974,,,51277,666158,193455,,2,,,41482,9795,475986,190172,ITH,ITH1,50800,477,42552,620,970,4,36,0,654963,11195,192795,660
2021-02-20T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,162,27,189,2835,3024,140,312,27505,1194,,,31723,585615,167613,,3,,,26434,5289,541772,43843,ITH,ITH2,31411,312,27334,171,1193,1,25,2,581938,3677,167207,406
2021-02-20T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,1857,130,1987,10621,12608,171,765,216282,9257,,,238147,2423607,1201114,,5,,,234093,4054,2013821,409786,ITC,ITC1,237382,765,215700,582,9245,12,130,0,2403012,20595,1195422,5692
2021-02-20T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1251,164,1415,31669,33084,-246,905,102858,3759,,,139701,1487903,831381,,13,,,139183,518,1444416,43487,ITF,ITF4,138796,905,101730,1128,3736,23,163,1,1478023,9880,827529,3852
2021-02-20T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,277,29,306,12974,13280,-49,73,26266,1109,,,40655,717300,517658,,2,,Si segnala il decesso dei paz.:  - 1 UOMO 95 aa Residente nella Provincia del Sud Sardegna  - 1 UOMO 82 aa Residente nella Provincia di Oristano - 2 residenti nella Provincia di Nuoro  - 1 DONNA 83 aa Residente nella Provincia di Sassari  - 1 DONNA 82 aa Residente nella Provincia di Sassari  - 1 DONNA 98 aa Residente nella Provincia di Sassari ,40639,16,617898,99402,ITG,ITG2,40582,73,26151,115,1102,7,27,2,715073,2227,515803,1855
2021-02-20T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,862,145,1007,28899,29906,-1663,474,114692,3981,,,148579,2252267,1090761,,3,,,148579,0,1681846,570421,ITG,ITG1,148105,474,112573,2119,3963,18,150,-5,2228960,23307,1086166,4595
