data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,codice_nuts_1,codice_nuts_2,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,ricoverati_con_sintomi_ieri,nuovi_ricoverati_con_sintomi,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi,casi_testati_ieri,nuovi_casi_testati
2021-03-19T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,672,88,760,10203,10963,-139,417,48868,1972,,,61803,1167634,556690,Dal totale dei positivi è stato eliminato 1 caso in quanto duplicato,7,,,61803,0,838388,329246,ITF,ITF1,61387,416,48342,526,667,5,1943,29,89,-1,1161077,6557,554774,1916
2021-03-19T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,167,13,180,4161,4341,24,116,13356,406,,,18103,278404,161680,"IL NUMERO TOTALE DEI DECESSI COMPRENDE 13 PAZIENTI NON RESIDENTI, DECEDUTI  IN STRUTTURE OSPEDALIERE DELLA REGIONE BASILICATA. ",2,,,18103,0,266674,11730,ITF,ITF5,17987,116,13269,87,164,3,401,5,12,1,277011,1393,160969,711
2021-03-19T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,300,36,336,7820,8156,170,376,33791,758,,,42705,632930,596040,,3,,,42699,6,616966,15964,ITF,ITF6,42329,376,33591,200,294,6,752,6,33,3,630293,2637,593571,2469
2021-03-19T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1569,155,1724,98614,100338,779,1997,209805,4843,,,314986,3356617,2296307,,19,,,303398,11588,3177398,179219,ITF,ITF3,312989,1997,208600,1205,1562,7,4830,13,153,2,3329255,27362,2280825,15482
2021-03-19T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,3549,386,3935,68852,72787,2349,3188,227858,11343,,,311988,4510779,1627949,"Sono stati eliminati 26 casi, positivi a test antigenico ma non confermati da tampone molecolare. Sono stati eliminati 0 casi, comunicati nei giorni precedenti, in quanto giudicati non casi COVID-19.",27,,,311793,195,3790375,720404,ITH,ITH5,308826,3162,227087,771,3551,-2,11301,42,385,1,4474763,36016,1621942,6007
2021-03-19T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,547,77,624,15239,15863,337,910,71211,3097,,,90171,1519614,543981,,7,,,80275,9896,1366491,153123,ITH,ITH4,89261,910,70659,552,545,2,3076,21,77,0,1507695,11919,539823,4158
2021-03-19T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2439,308,2747,43248,45995,1076,2188,212397,6316,,,264708,4774934,3207408,,15,,,260361,4347,3674189,1100745,ITI,ITI4,262520,2188,211323,1074,2422,17,6278,38,299,9,4738397,36537,3187092,20316
2021-03-19T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,578,63,641,5152,5793,-219,427,74723,3785,,,84301,1158435,488169,,5,,in Regione Liguria la positività al test antigenico rapido è seguita da conferma con test molecolare.,84301,0,1005367,153068,ITC,ITC3,83874,427,74082,641,567,11,3780,5,64,-1,1150892,7543,485376,2793
2021-03-19T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,6796,788,7584,93320,100904,1835,5518,558572,29631,,,689107,7591271,3376026,,52,,,666207,22900,6897026,694245,ITC,ITC4,683589,5518,554969,3603,6744,52,29551,80,786,2,7526272,64999,3358604,17422
2021-03-19T17:00:00,ITA,11,Marche,43.61675973,13.5188753,749,141,890,9145,10035,-108,822,69109,2473,,,81617,946689,577354,,11,,,81617,0,856765,89924,ITI,ITI3,80795,822,68188,921,752,-3,2464,9,139,2,940714,5975,573891,3463
2021-03-19T17:00:00,ITA,14,Molise,41.55774754,14.65916051,93,14,107,1293,1400,-9,41,10046,415,,,11861,176779,160236,,1,,,11861,0,176486,293,ITF,ITF2,11820,41,10000,46,93,0,411,4,14,0,176206,573,159725,511
2021-03-19T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,122,32,154,3331,3485,-172,127,52390,1099,,,56974,1003482,202220,"numero di test AG non confermati da test PCR: 1, che vengono sottratti ai casi confermati da test AG",2,,,44899,12075,517873,485609,ITH,ITH1,56848,126,52092,298,135,-13,1099,0,31,1,991900,11582,202008,212
2021-03-19T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,203,55,258,3559,3817,-130,306,33862,1252,,,38931,670371,179708,,3,,,29471,9460,583425,86946,ITH,ITH2,38625,306,33429,433,204,-1,1249,3,55,0,666633,3738,179180,528
2021-03-19T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,3332,326,3658,29797,33455,1295,2997,241724,9844,,,285023,3027647,1418191,,24,,,274109,10914,2264029,763618,ITC,ITC1,282026,2997,240055,1669,3279,53,9811,33,315,11,2993495,34152,1407590,10601
2021-03-19T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1630,214,1844,39326,41170,663,1785,127409,4421,,,173000,1742669,955759,,15,,,172129,871,1666139,76530,ITF,ITF4,171215,1785,126314,1095,1582,48,4394,27,219,-5,1731033,11636,949416,6343
2021-03-19T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,176,25,201,12666,12867,54,134,28909,1203,,,42979,893924,568509,,0,,Si segnala il decesso dei paz.:  - 1 uomo 80 aa Residente nella Città Metropolitana di Cagliari  - 1 uomo 77 aa Residente nella Provincia di Sassari ,42963,16,678847,215077,ITG,ITG2,42845,134,28831,78,170,6,1201,2,28,-3,889758,4166,566286,2223
2021-03-19T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,726,121,847,14937,15784,323,859,144162,4412,,,164358,2898109,1222708,,6,,,164358,0,1901793,996316,ITG,ITG1,163499,859,143641,521,731,-5,4397,15,117,4,2874348,23761,1216838,5870
2021-03-19T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,1448,246,1694,23945,25639,301,1365,148808,5041,,,179488,3153257,1656862,,16,,,178094,1394,2739233,414024,ITI,ITI1,178123,1365,147769,1039,1454,-6,5016,25,246,0,3129792,23465,1645747,11115
2021-03-19T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,385,75,460,5221,5681,-130,182,42002,1193,,,48876,920579,329363,"Si fa presente che 6 dei ricoveri NON UTI, non rientrano nei codici disciplina COVID e pertanto vengono collocati in ""Altra Struttura"". ",5,,,48876,0,754505,166074,ITI,ITI2,48694,182,41696,306,404,-19,1187,6,76,-1,914514,6065,328443,920
2021-03-19T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,24,2,26,427,453,55,63,7642,419,,,8514,86323,47805,,0,,,8480,34,78313,8010,ITC,ITC2,8451,63,7634,8,22,2,419,0,2,0,85831,492,47591,214
2021-03-19T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1353,199,1552,36061,37613,675,1917,314994,10318,,,362925,5748890,1489217,Nei valori riportati per le terapie intensive si è verificato un disallineamento temporale del flusso informativo pertanto per convenzione è stato riportato 12  dimessi da TI  invece del n.8 effettivo che include anche i negativizzati.,24,,,355308,7617,4332655,1416235,ITH,ITH3,361008,1917,313775,1219,1352,1,10295,23,193,6,5704636,44254,1485190,4027
